"filename", "language", "JSON", "YAML", "Properties", "JavaScript", "Markdown", "HTML", "Vue", "Batch", "CSS", "XML", "SCSS", "comment", "blank", "total"
"/Users/we/Documents/GitHub/mrnoplay/src/components/titlepart.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 2, 96
"/Users/we/Documents/GitHub/mrnoplay/src/main.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 8, 56
"/Users/we/Documents/GitHub/mrnoplay/src/router.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/Users/we/Documents/GitHub/mrnoplay/src/views/about.vue", "Vue", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 2, 242
"/Users/we/Documents/GitHub/mrnoplay/src/views/mr.vue", "Vue", 0, 0, 0, 0, 0, 0, 596, 0, 0, 0, 0, 5, 2, 603
"/Users/we/Documents/GitHub/mrnoplay/src/views/over.vue", "Vue", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 17, 2, 322
"/Users/we/Documents/GitHub/mrnoplay/src/views/settings.vue", "Vue", 0, 0, 0, 0, 0, 0, 528, 0, 0, 0, 0, 9, 2, 539
"/Users/we/Documents/GitHub/mrnoplay/src/views/timing.vue", "Vue", 0, 0, 0, 0, 0, 0, 369, 0, 0, 0, 0, 18, 2, 389
"/Users/we/Documents/GitHub/mrnoplay/src/views/tutorial.vue", "Vue", 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 2, 316
"/Users/we/Documents/GitHub/mrnoplay/vue.config.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 3, 0, 58
"Total", "-", 479, 1, 1, 685, 15, 36, 2591, 1, 0, 15, 2071, 110, 474, 6479
